Date,PM2.5,PM10,SO2,NO2,CO,O3
2021-06-20,14,40,8,33,0.45,101
2021-06-21,36,120,15,48,0.63,77
2021-06-22,33,112,17,57,0.79,70
2021-06-23,20,48,7,24,0.47,100
2021-06-24,27,64,8,21,0.44,85
2021-06-25,18,36,6,31,0.57,67
2021-06-26,20,47,7,35,0.48,70
2021-06-27,19,48,10,32,0.53,89
2021-06-28,18,41,13,25,0.49,86
2021-06-29,19,43,10,27,0.5,89
2021-06-30,21,45,10,39,0.58,76
